"ant","ts","fullID","freq","freq.sd","sig","sig.sd","noise","run.id","pos.in.run","slop","burst.slop","ant.freq"
4,1697126935.9862,252#19@166.38:5.9,4.653,0.837,-71.8,45.6,-81.4,1468,1,0.0015,0,0
1,1697170884.3661,252#407@166.38:8.9,3.826,0.00252,-67,10.3,-81.8,1763,1,0.0003,0,0
1,1697170893.2644,252#407@166.38:8.9,3.833,0.00805,-68.3,19.8,-81.8,1763,2,0.0004,0,0
1,1697170902.1623,252#407@166.38:8.9,3.822,0.0124,-65.2,10.1,-81.7,1763,3,0.0003,-0.0003,0
1,1697170911.0606,252#407@166.38:8.9,3.828,0.00851,-64.9,7.48,-81.7,1763,4,0.0004,0,0
1,1697170919.9589,252#407@166.38:8.9,3.834,0.00618,-64,11.4,-81.7,1763,5,0.0001,0,0
1,1697170928.8569,252#407@166.38:8.9,3.834,0.00618,-63.9,9.84,-81.4,1763,6,0.0007,0.0001,0
1,1697170937.7551,252#407@166.38:8.9,3.828,0.00597,-63.8,9.92,-81.5,1763,7,0.0003,0,0
1,1697170946.6531,252#407@166.38:8.9,3.835,0.00226,-63.8,1.14,-81.6,1763,8,0.0003,-0.0002,0
1,1697170955.5513,252#407@166.38:8.9,3.831,0.00492,-63.4,6.52,-81.6,1763,9,0.0004,0,0
1,1697170964.4493,252#407@166.38:8.9,3.832,0.00648,-63.4,6.98,-81.3,1763,10,0.0003,-0.0003,0
1,1697170973.3476,252#407@166.38:8.9,3.827,0.00895,-63.5,9.5,-81.6,1763,11,0.0003,0,0
1,1697170982.2456,252#407@166.38:8.9,3.822,0.0142,-64.5,55,-82.2,1763,12,0.0003,-0.0002,0
2,1697170991.1439,252#407@166.38:8.9,5.54,0.00731,-75.6,8.86,-83.5,1770,1,0.0001,0,0
1,1697170991.1438,252#407@166.38:8.9,3.824,0.0121,-63.6,7.86,-81.8,1763,13,0.0004,0,0
2,1697171000.042,252#407@166.38:8.9,5.546,0.0216,-75.2,11.5,-83.1,1770,2,0.0001,0.0001,0
1,1697171000.0421,252#407@166.38:8.9,3.823,0.00773,-63.7,8.47,-81.6,1763,14,0.0001,0,0
1,1697171008.9401,252#407@166.38:8.9,3.832,0.00575,-62.9,13,-81.5,1763,15,0.0007,0,0
2,1697171017.8382,252#407@166.38:8.9,5.562,0.0293,-74.7,8.8,-83.2,1774,1,0.0003,0,0
1,1697171017.8383,252#407@166.38:8.9,3.831,0.00977,-63.8,55.7,-82.4,1763,16,0.0001,0,0
2,1697171026.7363,252#407@166.38:8.9,5.565,0.00552,-74.1,11.8,-83.4,1774,2,0.0003,-0.0001,0
1,1697171026.7363,252#407@166.38:8.9,3.824,0.00465,-63.7,9.59,-81.6,1763,17,0.0003,0,0
3,1697171026.7362,252#407@166.38:8.9,5.49,0.00748,-76.9,18.7,-84.3,1778,1,0.0003,0,0
2,1697171035.6346,252#407@166.38:8.9,5.559,0.0228,-73.5,11,-83.4,1774,3,0.0001,0.0001,0
1,1697171035.6346,252#407@166.38:8.9,3.823,0.00704,-63.6,8.92,-81.9,1763,18,0.0003,0,0
3,1697171035.6345,252#407@166.38:8.9,5.504,0.0129,-76.2,5,-84.2,1778,2,9.98e-05,0.0001,0
2,1697171044.5327,252#407@166.38:8.9,5.56,0.00957,-72.9,22.9,-82.2,1774,4,0.0001,0.0001,0
